,Unnamed: 0,reviews,aircraft,Type of Traveler,Seat Type,Route,Date,Recommend
552,552,london heathrow seychelles really great flight boarding quick flight full seats great 07 ab good inflight entertainment plenty choices food good already preordered meals beef well done like late 30 minute delay landed time seychelles crew attentive lots demanding passengers good flight 7 hours sleep,Boeing 787-900,Couple Leisure,Business Class,London Heathrow to Seychelles,Oct-19,yes
553,553,edinburgh london heathrow problems flight crew service flying everything plane fine flight landed rushed baggage claim wife another flight london hour make even though could see plane watch baggage crew drive bags took 45 minutes bag came baggage claim service desk turned away 30 furious customers manager could arrive time running catch next flight different airline missed turns next flight home next airline wasn’t another 6 days hoping british airways would help us way went horrendous customer service desk agent basically told us pound sand ended costing wife almost 3000 new tickets get home spent next 20 hours airport british airways refused offer us meal voucher never use airline,Null,Couple Leisure,Economy Class,Edinburgh to London Heathrow,Oct-19,no
554,554,amman london nice aircraft comfortable seats soft landing aircraft flies amman airport 8 local time arrives 5 hours london good product,A321,Couple Leisure,Economy Class,Amman to London,Sep-19,yes
555,555,london athens british airways glorified budget airline 35hour flight back athens food drinks provided ask cup water charge ridiculous price ms inflated price sandwich meal entertainment options either usb charging seat well reputable airline flight length provides options 2019 yet charged fullservice airline prices mismatch flew aegean route full meal drinks provided,A320,Business,Economy Class,London to Athens,Oct-19,no
556,556,terrible lack leg body room economy easily cramped space ever flown travel lot flight 7 hours leg cramps pain room modicum comfort little amount space economy cabin disgusting seat front reclines invariably even less room shameful food average well even bottom barrel budget airplane food never fly british airways 0 stars beware add nyc jfk london waiting areas near enough seats requiring many stand sit floor call plane disorganized bedlam horrible excuse airline,Boeing 777,Couple Leisure,Economy Class,New York JFK to London,Oct-19,no
557,557,buenos aires london heathrow rwturn aircraft old cabin configuration old tired ife screens changed since first installed ipod larger responsive screen taking buenos aires pax offered water orange juice never got take drinks offered followed hot meal food choices ran first row seats uncomfortable footrests jammed return flight sparkling wine water offered take followed drinks meal chosen online beef stew mashed potatoes poor movie choices miniature screen uncomfortable seats crew ok indication toilets use either forward business class rear economy flown norwegian b787 premium cabin route ba waste money,Boeing 777-200,Couple Leisure,Premium Economy,Buenos Aires to London Heathrow,Sep-19,no
558,558,mexico city barcelona via london heathrow b787 incredible plane legroom quite good seat comfortable ife great number movies series music food average first meal meat mashed potatoes salad wine tasty breakfast scrambled eggs mushrooms fruit muffin delicious cabin crew ok bad excellent arrived time great flight second flight cabin crew appeared twice ife onboard service it’s almost like low cost recommend long flights european flights,"Boeing 787-9, A320-200",Solo Leisure,Economy Class,Mexico City to Barcelona via London Heathrow,Sep-19,yes
559,559,great round ba2591 11 october good price easy boarding lovely cabin crew great iced coffee sale comfortable time nice smile cabin flight crew windy landing couldn’t ask reinstate free drink sandwich,A319,Couple Leisure,Economy Class,Bari to London Gatwick,Sep-19,yes
560,560,flew back abu dhabi world traveller plus seat uncomfortable warrant price tag seat seat cushioning terrible zero feeling comfort got sleep snack served take quite tasty breakfast dismal tasteless much interaction crew seemed friendly enough would travel british airways cabin really worth price tag,Boeing 787,Couple Leisure,Premium Economy,Abu Dhabi to London Heathrow,Sep-19,no
561,561,flew london heathrow abu dhabi honestly really good legroom great crew excellent looked us superbly food drinks bang vegas april nowt wrong airline,Boeing 787-900,Couple Leisure,Economy Class,London Heathrow to Abu Dhabi,Oct-19,yes
562,562,johannesburg amsterdam via london many delayed departures announced flight cancelled rescheduled depart following night 8pm following night 730 pm announced delays due technical fault reported 24 hours previously finally departed 10pm consequences missed connecting flight amsterdam also pay show hotel amsterdam trying claim charge ba declined offered pay taxi arrived amsterdam 30 hours later really annoyed us lack communication disorganized manner events mishandled board crew really nice getting new hope shattered terrible food board entertainment outdated connecting ba flight back home thing arrival delayed disembarking,Null,Couple Leisure,Economy Class,Johannesburg to Amsterdam via London,Sep-19,no
563,563,dubai london heathrow flew a350 one first trips flying multi segment trip tried sq business class ek business class sadly old ba business class aging b777 overnight trips new business suite offering ba best business class experienced ba gold card holder experience outstanding first lounge dxb good plenty seating good choice drinks food choice lounge limited issue board new suite comfortable great nights sleep closed door making difference getting full six hours bed comfortable food choices limited soup sandwiches although suit timing flight would say excellent serious business product night time business travellers whether works leisure travellers want wow rather sleep daytime travellers dont know certainly could work effectively suite downside ife still rubbish relation rest product,A350,Business,Business Class,Dubai to London Heathrow,Sep-19,yes
564,564,istanbul new york via london literally worst experience tried airline first definitely last time go customer service hiring department scratch,Null,Solo Leisure,Economy Class,Istanbul to New York via London,Oct-19,no
565,565,yesterday husband decided come home rome earlier scheduled time 8pm rang ba london customer service adviser helpful reassuring able change flight time 3pm without pay extra onboard flight steward gave hot water milk used preferred decaf tea charge waiting get plane wonderful conversation ba staff pleasant love flying ba continue booked flight ba next year thank taking good care us sat much appreciate excellent service,Null,Couple Leisure,Economy Class,Rome to London Heathrow,Oct-19,yes
566,566,flight london athens british airways one worst experiences new slim seats uncomfortable spend flight sadly next day well pain screens flight info gone frills airline become bad quality budget airline sad avoid,A320,Business,Economy Class,London to Athens,Oct-19,no
567,567,short 45 minute flight north south british airways lounge lhr also ncl busy shortage seats gates departures arrivals conveniently placed near airport exits seats flight comfortable schedule perfectly time,A320,Solo Leisure,Economy Class,London Heathrow to Newcastle,Oct-19,yes
568,568,calgary gothenburg via london british airways staff friendly helpful entertainment good food ok although salmon sandwich snack full plane wouldnt first choice serve seats incredibly uncomfortable super narrow point sit arms crossed hit neighbours 9 hour flight painful paid extra leg room good still one uncomfortable long flights ever recommend short trips,Null,Solo Leisure,Economy Class,Calgary to Gothenburg via London,Sep-19,yes
569,569,long time avoided taking british airways due it’s poor past reputation yesterday traveled ba 34 kuala lumpur london heathrow boarded flight open mind 12 hours later disembarked feeling happy always good see airline make visible improvements deliver value it’s customers praise due want congratulate ba pleasant experience flight departed time arrived half hour early crew professional everything smile made passengers feel welcomed plane pristine new delightful entertainment content food way expectations seasoned economy class traveler say enough say traveling ba,Boeing 787-9,Family Leisure,Economy Class,Kuala Lumpur to London,Oct-19,yes
570,570,austin london another pleasant flight ageing 747 horror discovering one us allocated centre seat meaning effectively sleeping next stranger kindly swapped seats could together couple centre seats really quite nice feel you’re little world good flight time nice crew good expect,Boeing 747,Couple Leisure,Business Class,Austin to London,Oct-19,yes
571,571,london kuala lumpur better expecting reading reviews seats great service friendly leg less return areas need improvement 1 separate toilets economy 2 dedicated crew premium economy section rather added onto economy service 3 better 2nd meal main meal great noticeably premium however next meal breakfast bit afterthought would choose ba premium eco yes definitely,Boeing 787,Couple Leisure,Premium Economy,London to Kuala Lumpur,Aug-19,yes
572,572,wish could give zero booked flight newark madrid via london come find minimum layover time london 1 hr flight layover london 1hr5min british airways promised arriving departing terminals london total lie wife sprinting across airport getting aeroplane go security get side airport connection missed layover flight route reverse direction called ba hoping change return flights explained situation kept insisting since layover staggering 5 minutes london’s minimum 1hr layover threshold unable help way british airways far worst customer service ever experienced ryanair nofrills airline better customer service saying something never flying ba plan converting company away ba flights well warned stay away carrier costs prepared deal zero customer service case issues arise,Null,Couple Leisure,Premium Economy,Newark to Madrid via London,Oct-19,no
573,573,one reasons traveled club class ba lounges get away usual airport chaos screaming children ba don’t tell lounge kos airport limited seating noisy limited facilities sure spend much air tickets future don’t warn limited facilities doesn’t help flight delayed hour,Null,Couple Leisure,Business Class,Kos to Gatwick,Oct-19,no
574,574,gatwick alicante outbound flight 23 sept gave ba almost 10 10 across board review invited complete return flight 26 sept different matter entering alicante airport boarding service comparison standard except vip lounge good travelling club europe advantages one check open passengers bag drop facilities facility print boarding passes invited board wait 20 minutes ramp let plane iberia factor honestly wouldnt thought company plane everything went like clockwork,A320,Business,Business Class,Gatwick to Alicante,Sep-19,yes
575,575,vancouver london great flight superb a380 opinion comfortable quiet aircraft flying moment outstanding flight service crew attentive polite professional best british airways service food well average cabin though breakfast could better ife excellent seat comfortable good recline supplied decent plump cushion excellent quilted blanket enjoyable flight highly recommended,A380,Solo Leisure,Premium Economy,Vancouver to London,Sep-19,yes
576,576,gatwick alicante 35 hours 1 hour sitting tarmac knees rammed seat front room move travelled several airlines route last 12 months vueling airlines best seats stay away rest unless 5ft tall,Null,Couple Leisure,Economy Class,Gatwick to Alicante,Sep-19,no
577,577,torrid experiences ba shy report flew yesterday heathrow austin great flight every way felt right feedback staff upstairs business class cabin frankly wonderful cheerful efficient calm could ask food pretty nice champagne lovely beds comfortable sleeping easy literally cannot think real negatives luggage lockers quite small it’s older model plane probably explains ba could deliver kind experience every occasion would “world’s favourite airline’ sadly current ceo doesn’t seem able inspire motivate staff consistently delightful perhaps moves expect something better although flight bit delayed departure arrives bang time entered literally empty immigration area met charming customs officer imagine ended giving us tourist tips ideas bars surreal anyone regularly travels states testify felt living truman show one point nicest possible way get good ole austin ba fly direct fantastic,Boeing 747,Couple Leisure,Business Class,London Heathrow to Austin,Sep-19,yes
578,578,london heathrow austin british airways little bit like going back time fly upper deck 747 austin enjoyable flight we’ve taken long time quiet deck fantastic flight crew couldn’t enough always smile arrived fresh 10 hours air time thoroughly enjoyed experience slight issue ife systems small overhead lockers plenty spare lockers ipads took,Boeing 747,Couple Leisure,Business Class,London Heathrow to Austin,Sep-19,yes
579,579,actually fly pilot strike review poor service customers due fly days strike immediately tried rebook airline flew jersey course put air fares day question pay £110 return flight cancelled ba flight refunded £159 £187 paid £28 difference picking seats consider part cost flight refunded everything fault striking completed complaint form month ago never responded 2 weeks ago phoned customer service line person spoke said would refund £28 never received refund,Null,Couple Leisure,Economy Class,London Gatwick to Jersey,Sep-19,no
580,580,start journey back efl inauspicious hundreds delayed stranded passengers crammed departure lounge awaiting flights airlines ba weather uk plus air traffic control issues meant departure delayed 90 minutes airborne refitted a320 complete nice fresh leather smell cabin crew ce friendly efficient food including cod dish quite reasonable interesting note refit hadnt extended toilet looking distinctly worse wear big plus flight first wifi actually worked quite fast although cost £499 hours use thought meant free business class passengers evidently landing made time parked right middle nowhere backlog flights however ba laid separate bus ce passengers airport 30 minutes later bad,A320,Couple Leisure,Business Class,Cephalonia to London ,Sep-19,yes
581,581,chicago zurich via london delays delays flight supposed depart 830 pm chicago time scheduled 940 pm waited long time airport finally 10 pm managed board a380 first time legroom horrible ife completely unfunctional food served taxi technical problem occurred returned gate end plane took 12 chicago time arrived london heathrow 2 pm wait 3 hours boarding another 30 minutes delayed flight arrived zurich old a319 930 pm zurich time instead original 330 pm stressful least staff nice,A380,Family Leisure,Economy Class,Chicago to Zurich via London,Aug-19,no
582,582,glasgow london smooth flight departurearrival time boarding quick seat ok although preordered vegetarian option caterer hadnt provided said flight attendant quickly solved issue food good wine french bourgogne also surprisingly good flight attendant professional polite attentive detail great flight,Null,Solo Leisure,Business Class,Glasgow to London,Sep-19,yes
583,583,booked flight week ba strike mistakingly thinking strike would ended two days flew fact day apprehensive would operate checkin security clearance t5 took 15 minutes personally like self service bag tag drop ba operate one 100 confident everything correctly boarding new fare group system 1 5 depends much one paid ticket im fan possibly due previous days strike need accommodate passengers canceled flights aircraft large a321 boarding however smooth board virtually full cabin clean eurotraveller seats comfortable offer sufficient leg room im 1m79cm knees touch seat front departure 15 minutes behind scheduled departure time flight 3 cabin staff euro traveller cabin believe 2 club cabin efficient friendly one wait 30 minutes take purchase refreshments full flight shame though ba gone frills line charge food drinks describe full service airline landing tegel 30 minutes ahead schedule pleasant flight value good combined hotel booking tegel bit hassle 2 border police carrying immigration controls 200 passengers end airbridge 30 minute wait luggage bas fault,A321,Solo Leisure,Economy Class,London Heathrow to Berlin Tegel,Sep-19,yes
584,584,wouldnt even rate 110 2 x business class passengers booked via business 1 bag lost transit ground crew mxp rude dismissive unhelpful unable locate missing bag waited next flight arrive still bag decided cut short trip bag contained essential meds ok thats lesson learnt hard way due ob booking ba customer services unwilling flexible change tickets resulting full fare tickets purchased return apparently bag arrived 24hrs later back uk despite ba website showing transit lhrmxp 8 days numerous lengthy calls customer service proved fruitless passed one department another cut email ceo director brand customer experience received call global engagement executive team offering £100 evoucher abysmal customer services wonder reputation tatters never fly ba,Null,Couple Leisure,Business Class,London to Milan,Sep-19,no
585,585,flying london city geneva plus embraer e190 jet comfortable interior plenty leg room economy seat ba offers basic frills service different budget airline yet charges full service prices,EMB190,Business,Economy Class,London to Geneva,Sep-19,no
586,586,los angeles istanbul via london flight london istanbul like coach tv small leg room transatlantic business seats narrow mine become complete bed food average heathrow ba business lounge cramped tasteless dirty lounge took us 25 min find two chairs seat food awful service even worst wanted change departure date days pay penalty 500 plus fee change ended paying 800 per person addition fare already paid,Null,Couple Leisure,Business Class,Los Angeles to Istanbul via London,Sep-19,no
587,587,phoenix tel aviv via london return london phoenix nightmare want everyone know sent complaint 3 times one talk something used,Null,Family Leisure,Premium Economy,Phoenix to Tel Aviv via London,Aug-19,no
588,588,london kefalonia t5 galleries lounge showing age packed 930 saturday boarding standard groups meant waiting 15 minutes queue 10 minutes bridge flight deck informed us we’d waiting stand 1 hr 20 minutes departure slot air cabin crew delivered usual club europe experience mediocre best fortunately arrival 45 minutes late kefalonia airport 30 minutes later overall typical ba experience that’s lacklustre best,A320,Couple Leisure,Business Class,London to Kefalonia ,Sep-19,no
589,589,london dublin never choice fly british airways never fly supposed fly american airlines usa dublin connecting flight origin city chicago unfortunately first flight delayed due weather caused miss flight chicago dublin put flight london instead run finally made chicago bag make flight flew british airways london dublin told file lost baggage claim ba told bag would transferred american ba arrived dublin using american’s baggage tracking system able confirm bag arrived day around noon saturday writing review following sunday bag still possession ba’s customer service terrible someone tells one time wait patient going lose bag sitting airport city i’m day can’t get talk serious frustration don’t know airline fault delay difference called american rep everything could find status bag even though baggage claim desk closed called still tried call internal number see anyone still around unfortunately couldn’t get hold anyone left message told exactly could call call next morning receive level service ba even asked could call airport told “we authorized call airports” world wouldn’t authorized call baggage department thrilled either airline least american made attempt help ruined first three days trip planned two years check bag it’s lost delayed don’t expect help flew ba here’s tip dealing lost delayed bag country don’t live don’t call generic customer service number website would normally use dig around see find number airport flew get lot information assistance way,Null,Solo Leisure,Economy Class,London to Dublin,Sep-19,no
590,590,hong kong london email 25th august advising us flight cancelled hours spent hold never speaking anyone total awful nightmare email 600pm saying must delighted find flight cancelled slots elemis salon already booked massages available first class arriving hk airport return journey struggling even get pavement inside terminal tell us print proof travel wait ages ba open check desk pretty average food service qantas lounge broken screen seat 59a would stay position without wedging unusable constant interruptions flight partner large passenger climbing ghastly sweet sour chicken main course made send tray away eat leaving flight cheapest goodies bag broken zip suitcase last plane already ba desk reported eventually turned conveyor belt first class hk good business class experience return flight business class word poor plane tired ife faulty poor food journey saved quality staff lovely give rubbish tools serve rubbish night term pantry offering total joke ba exec card holder since ever seen decline service level certainly value money get club class experience flight home,Null,Couple Leisure,Business Class,Hong Kong to London,Sep-19,no
591,591,gatwick seville son girlfriend proceeded drop hand luggage member staff insisted making pay 50gbp one suitcases 4cm oversize insisted hand luggage staff said pay would lose flight,Null,Couple Leisure,Economy Class,Gatwick to Seville,Sep-19,no
592,592,london abujaflight full aircraft older version 777200 evening meal served ordinary arrived less time dodging thunderstorms near abuja return flight delayed pilot strike meant aircraft parked lagos flown back abuja 2 hour delay flight supposed 8 departure airport side sense tell us herded gate area food facility waited flight crew also herded gate area crew outward flight plane also long foodless wait quite chatty boat flight totally full flights previous days cancelled breakfast served evidence standard meals improvedscrambled egg lump tasteless yellow full credit crew cheerful efficient spite delays etc aircraft clean old heel carpet seat front ripped floor visible,Boeing 777-200,Business,Economy Class,London Heathrow to Abuja Nigeria,Sep-19,no
593,593,london bangkok awful plane seats ok going coming back seemed like bar going across bottom back part seat really uncomfortable meals fine alas last meal served hour landing rushed main problem entertainment small scratched screen 15 films rubbish took 2 hours get screens actually work plane looks old tired pleasure travel plane,Boeing 777-300,Solo Leisure,Economy Class,London to Bangkok,Sep-19,no
594,594,belfast san francisco via london checkin belfast city fast trouble free security completed within minutes queues mention boarding direct business lounge time departure full breakfast service carried including hot towels hot breakfast tea coffee along drinks bar request galleries lounge terminal 5 heathrow busy limited seats available boarding second flight began time departure swift inflight service top notch capable crew looking customers upper deck professional discrete manner food plentiful tasty entertainment perfectly adequate seat comfort fine complaints flight would recommend british airways,Boeing 747-400,Couple Leisure,Business Class,Belfast to San Francisco via London,Aug-19,yes
595,595,london gothenburg ba getting lot bad press deservedly present strikes glitches baggage problems however extreme cases always highlighted two recent flights ba happy flight gothenburg a319100 pushed back 25m late due potential technical issue soon resolved arrived got 15m behind schedule good crew safety announcement video hoot return lhr a320232 time departure early arrival t5 good crew flying ba december strikes permitting still recommended national carrier,A319,Couple Leisure,Economy Class,London to Gothenburg,Sep-19,yes
596,596,orlando gatwick terrible flight experience bed bugs old club world seats missed meals poor service complaints outsourced german company arent even part ba fly ba club world waste money,Null,Family Leisure,Business Class,Orlando to Gatwick,Jul-19,no
597,597,mahe stockholm via london checked online flight bag drop met rude lady first class check process took 20 minutes don’t know apology boarding time welcome wasn’t especially friendly pointing direction go club europe cabin felt claustrophobic window seat csm never came say hello service pretty basic ok meals self service drink service didn’t ask flight stockholm purser introduced emerald members service limited due strike next day friendly seating terrible a320 tight,Boeing 787 / A320,Solo Leisure,Business Class,Mahe to Stockholm via London ,Sep-19,no
598,598,glasgow tampa via gatwick early morning flight glasgow gatwick flight dud take 645 boarded doors closed 630 bug depart till 710 due gatwick busy smooth flight gatwick tampa according manage booking aircraft changed 2 days prior departure boarding told world traveller plus seats upgraded club world pleasant surprise 777 refurbished extra space good staff efficient pleasant downside main meal would original seats main courses liking afternoon tea good thank ba experience,A319 / Boeing777,Couple Leisure,Business Class,Glasgow to Tampa via Gatwick,Sep-19,yes
599,599,orlando gatwick travelling home extremely disappointing aircraft dirty drink stains side cabin remains chewing gum seatbelt aircraft aisle narrow walk sideways prevent bumping passengers aircraft broken toilet lights could turned night flight part cabin illuminated made sleep difficult breakfast garlic cream cheese croissant tasted revolting highly processed cereal bar one drinks run made standards ba plummeted since last flew seven years ago shame hope management looking reviews improve service,Boeing 777-200,Family Leisure,Economy Class,Orlando to Gatwick,Sep-19,no
600,600,london abu dhabi daytime flight london good flight food excellent economy particularly view etihad‘s disastrous changes food service children’s meals excellent entertainment system great good selection makes big difference entertainment system board turn plane reached gate especially flying children etihad don’t cabin crew good economy 787 cramped probably worse many good value flight especially carrier abu dhabi etihad,Boeing 787,Family Leisure,Economy Class,London to Abu Dhabi,Aug-19,yes
601,601,london st petersburgh huge disappointment ba business class service european routes seat pitch reduced 30 last years 34 expense passenger comfort seat width economy empty middle seat food halfempty plates representing deli experience leaving hungry three options offered two already stock stranded least favourable unhealthy food option avoid club europe worth money,A320,Couple Leisure,Business Class,London to St Petersburgh,Aug-19,no
602,602,sydney london via singapore british airways made mistake ordering vegetarian meals flight food horrendous served indistinguishable uniform mass appeared mashed overcooked potatoes maybe vegetables sure one meal ice cold frittatasandwich clearly heated latter took one bite couldnt continue better meals economy class airlines seat nothing write home noticeably comfortable compared economy class price difference match course service lacking quite perfunctory available plus side glad shared toilets business premium economy class front cabin instead walk way back plane like flights paid inflight wifi hour disconnected 40 minutes longer able use reasonable price speed,Boeing 777,Business,Premium Economy,Sydney to London via Singapore,May-19,no
603,603,london johannesburg british airways one commercial carriers world charges exorbitant amount fees booking travel addition want ensure spouse sit together flight need pay high price secure seat assignments said 2018 wife made reservations ba fly johannesburg london african adventure october specifically 1031 yes thats day called brexit made reservations dates set considering ba pilots called three pilot strikes september 2019 coupled brexit decided change flight plan want risk missing connection good news close 800 fees two business class tickets refunded changed flights another carrier american airlines advantage bad news 22000 pay reserve seats refunded called ba request refund agent supervisor told policy refund seat reservation expenses feeling love writing missive warn anyone traveling abroad fly british airways outstanding carriers dont charge nearly high fees dont charge reserving seats advance instead ba changed booking 1030 etihad airways abu dhabi customer service outstanding fees lower yes charge peace mind wife travel next entering travel september 2019 option future travel request refund comes two months advance planned flight airline policy review lets buyer beware,A380,Couple Leisure,Business Class,London to Johannesburg,Sep-19,no
604,604,say travelling club europe waste money food better economy food past seats economy although get middle tray probably worst cabin full lot arrogant people thought economy somehow made worthy people might british trait i’ve travelled business class airlines experience,Null,Family Leisure,Business Class,Palma de Mallorca to London Heathrow,Aug-19,no
605,605,stress free journey 8 yr old autistic son 6 yr old girl chennai london british airways chennai ground service manager recogonised sunflower lanyard came forward help throughout services right pushing trolley screening luggage checking security without much stress finally boarding aircraft second person stunned service glad know recognise respect help us hidden disability making journey really really smooth thank much inside aircraft crew members come forward asked need help another member congratulate wearing lanyard first person see lanyard even use disabled way clear immigration heathrow airport happy say trip kids really smooth ba heathrow airport happyautism thank,Null,Family Leisure,Economy Class,Chennai to London,Aug-19,yes
606,606,edinburgh kuala lumpur via london returned kl extended visit uk seeing family friends return flight ba033 heathrow kuala lumpur monday 26th august 2019 2110 greeted delightful air hostess whose name didnt quite catch point wish make looked well flight exceptional really made journey one best board experiences,Null,Solo Leisure,Economy Class,Edinburgh to Kuala Lumpur via London,Jul-19,yes
607,607,supposed fly london city amsterdam 247 business class lcy early pm flight appeared cancelled state confusion broke airport people trying find alternatives however managed rebooked later flight busy day waited hours airport new flight displayed “delayed” 45mins delay kept increasing flight ultimately scheduled depart 10pm kept waiting flight eventually ended cancelled well result half day wasted lcy feel ba’s punctuality quality customer service declining significantly lately delays cancellations happen however flying ba 30 times year flights delayed abnormally high lately especially tofrom amsterdam germany also customer service seems “minimum care” proposition provide strictly required law customers complain taking long possible genuinely makes feel worthless customer whether frequent flyer,Null,Business,Business Class,London City to Amsterdam,Jul-19,no
608,608,purchased ticket dublin mauritius british airways 23 feb 2019 day travel hours departure time realized would able make got touch british airways twitter advising cancellation arrived home asked officially cancel ticket issue refund understood ticket nonrefundable one says ticket surcharges taxes airport fees would refundable amounted least 250 euro however airline refunded pitiful 50 euro trying speak british airways twitter many times past months never responded positively insisting right thing position would change british airways dishonest avoided,Null,Solo Leisure,Economy Class,Dublin to Mauritius via London,Feb-19,no
609,609,london shanghai concorde room heathrow terminal 5 amazing dinner experience great food delicious however first galleries overcrowded buffet bad plane crew friendly nice dinner service finished 1 hour take food okay bed made dinner comfortable perhaps best entertainment system good airlines like qatar airlines emirates overall journey great,Boeing 777-200,Family Leisure,First Class,London to Shanghai,Aug-19,yes
610,610,often flown british airways considered good airline however customer service fallen level must say terrible problems good airline problems able get help recently flew london chicago erroneously cancelled seats although checked 5 hours flight downgraded seat put plane lost luggage 15 days things happen customer service impossible use call almost always get message says busy phone automatically hangs send request help via website get robo generated message get back cant find status inquiry get looping set computer messages take airline customer service may important,Null,Business,Business Class,Chicago to Heathrow via Barcelona,Aug-19,no
611,611,good morning would like write review british airways took write review took get happened feel way british airways behaved needs review valiant efforts last year went 9 year old son 80 year old friend new orleans london holiday life time pregnant time baby died holiday turmoil emotions regardless tried make holiday positive experience son friend carried wanting go home treatment needed take place england somehow missed flight back excuse realised complete state break rang ba sobbed phone beyond amazing arranged flight back home day without extra cost sat together able fly home day hospital day afterwards customer service outstanding compassionate helpful ask penny return flights beyond grateful help ever fly ba long haul possible,Null,Family Leisure,Economy Class,New Orleans to London,Nov-18,yes
612,612,flight cancelled 3 days row flying thursday finally days hours arguing ba got flight saturday night swiss air hand actually fly time everything customer service customer relations terrible hours waiting phone answers email flights ba year delayed two months promised reimburse expenses pay penalty fine 700 first 10 days 21 bank days way passed anything else transferred money yet far nothing complaint turned caa danish aviation authority,Boeing 747,Family Leisure,Premium Economy,Boston to Copenhagen via London,Jun-19,no
613,613,hong kong copenhagen via london whole experience nightmare wife wife lost luggage ever since first day journey 1st august two pieces luggage left heathrow airport ba staff took transit flight uk copenhagen went menzies cph filed repor stated missing report luggage found sent air bb house marstal cph 3rd august deliver hotel stayed cph found 4th august 2nd august found updated status missing luggage ba website showed one luggage found another one possible match therefore kept phoning emailing menzies staff urge send luggage house failed website status showed chose pick luggage airport preference failed change preference website preset system even changed latest delivery date 3th august 2020 instead 2019 could correct 3rd august menzies staff still failed deliver luggage us told decided pick airport unfortunately went cph airport 4th august told us already sent found luggage island marstal 4th apparently follow instructions sent wrong place wrong date asked us find luggage scanned possible match randomly trolleys outside office find one airport claimed sent island insisted possible match one incompetent even asked us complain ba push find baggage us believe baggage one sent island still missing staff messed confused bag really missing finally decided ask deliver luggage marstal airport send uk address next destination came back hotel evening 4th phoned menzies found luggage marstal sent back airport 8 pm 4th hence decided pick 5th august flew uk however came airport couldnt find luggage staff didnt explain told us leave luggage sent airport 4th come would disappear 5th staff kept saying busy one time look baggage us service totally unacceptable spnet hours parking airport found got nothing cant imagine furious frustrated literally sick phoning menzies staff every day getting anywhere menzies staff asked us pressure ba turn pressure locate luggage thats ridiculous things us sure could something wife lost personal belongings since day 1 trip,Null,Couple Leisure,Economy Class,Hong Kong to Copenhagen via London ,Aug-19,no
614,614,london gatwick san jose costa rica similar experience outbound inbound sure plane gold card holder moment always chosen ba seriously considering 777200 flew business dirty old flew family 5 business class 2 5 seats operate headphones socket jack operated screens ark crew always excellent ba ashamed charge business class rates experience told crew would contact tell would outcome issue heard date zip least better last year flying dc london seat recline even manual adjuster time least received avios customer service increasingly low cost feel,Boeing 777-200,Business,Business Class,London Gatwick to San Jose Costa Rica,Jul-19,no
615,615,inflight crew helpful polite caring though call flight service luxurious compared airlines quite pleasant food drink selection pretty basic however ground staff especially check counter dxb lost found london heathrow rude unhelpful forgot collect suit handed crew member time boarding upon approaching ba counter personnel willing help register lost found complain neither empathy willingness help,Boeing 777,Solo Leisure,Economy Class,London to Dubai,Aug-19,no
616,616,toronto pisa british airways used wet leased air belgium plane crew board friendly helpful times struggled provide full dinner service speedily food excellent business class cabin comfortable weather related delay blocked arrival gate resulted short connection time lhr great surprise british airways waited us exit plane drove family 7 people ranging 3 62 years terminal 5 terminal 3 escorted us security brought us even departure gate onto flight pisa without transfer help would missed connection flight pisa time good crew good board catering arrived 15 minutes time,"A340-300, A320",Family Leisure,Business Class,Toronto to Pisa London Heathrow,Aug-19,yes
617,617,good service board flight british airways lhr vce although flight 30 minutes delayed due aircraft change airbus a319 airbus a320 arrived slightly behind scheduled arrival time crew welcoming informative plane clean probably plane relatively new seat bad either quite good leg room one small issue could raise complimentary food beverage board pay use avios isnt bad europe overall good experience board flight,A320,Family Leisure,Economy Class,London Heathrow to Venice Marco Polo,Aug-19,yes
618,618,worst experience ever flying sufficient time chicago transfer bags american airlines aa verified delivered bags ba flight reached london bags arrive spent two days london without bags left earphone hard case plane lost found never answered file claim website horrible use file claim heard nothing return flight london newark baggage inspectors obviously opened suitcase never replaced lock experience like first vacation london would everything never fly british airways,Null,Couple Leisure,Premium Economy,Chicago to London,Aug-19,no
619,619,london larnaca new a321neo 45 hour flight aircraft narrow food simple nothing worth spending money staff friendly spending money 5 hour flight small plane doesnt worth entertainment onboard small plane duration,A321neo,Family Leisure,Economy Class,London to Larnaca,Aug-19,no
620,620,gatwick orlando excellent customer service arriving gatwick airport checking learn interpretation usa esta rules wrong would apply new esta valid duration trip took longer ba kept check open party member check staff came found terminal got bags checked boarding passes got us rushed waiting aircraft aircraft clean despite best efforts left time flight drinks served two food services towards end flight developed bad nose bleed stewardess attended kind caring despite best attempts bad passenger ba really came return journey went without hitch bas check orlando quick easy,Boeing 777-200,Family Leisure,Economy Class,Gatwick to Orlando,Jul-19,yes
621,621,london munich plane a320 seat comfortable airlines a320 comfortable headrest made leather enough legroom however free food drinks provided,A320,Family Leisure,Economy Class,London to Munich,Aug-19,yes
622,622,london glasgow ba customer service unquestionably least helpful least accommodating least friendly least responsive called service available clearly train staff multitude ways frustrate customers try avoid airline point,Null,Business,Economy Class,London to Glasgow,Jun-19,no
623,623,seating configuration meant packed like sardines seats aging uncomfortable forwardbackward configuration stupid seen cabin 8 seats row 100 people packed crowded noisy cabin book specific seat pay extra try luck 24 hours ahead flight,Null,Business,Business Class,London to Hong Kong,Aug-19,no
